Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
50,Joseph Lloyd DOMBROWSKI,United States,TCG,24,+59:00,13,+59:00,+59:00,TEAM CANNONDALE - GARMIN
51,Julien SIMON,France,COF,30,+59:32,13,+59:32,+59:32,"COFIDIS, SOLUTIONS CREDITS"
52,Mikael CHEREL,France,ALM,29,+1:00:15,13,+1:00:15,+1:00:15,AG2R LA MONDIALE
53,Ruben PLAZA MOLINA,Spain,LAM,35,+1:00:39,13,+1:00:39,+1:00:39,LAMPRE - MERIDA
54,Jose Joaquin ROJAS GIL,Spain,MOV,30,+1:01:00,13,+1:01:00,+1:01:00,MOVISTAR TEAM
55,Lawrence WARBASSE,United States,IAM,25,+1:01:50,13,+1:01:50,+1:01:50,IAM CYCLING
56,Adam HANSEN,Australia,LTS,34,+1:04:30,13,+1:04:30,+1:04:30,LOTTO SOUDAL
57,Pieter SERRY,Belgium,EQS,27,+1:04:48,13,+1:04:48,+1:04:48,ETIXX - QUICK STEP
58,Pierre ROLLAND,France,EUC,29,+1:05:23,13,+1:05:23,+1:05:23,TEAM EUROPCAR
59,Geraint THOMAS,Great Britain,SKY,29,+1:05:50,13,+1:05:50,+1:05:50,TEAM SKY
60,Jay MCCARTHY,Australia,TCS,23,+1:08:16,13,+1:08:16,+1:08:16,TINKOFF - SAXO
61,Jesper HANSEN,Denmark,TCS,25,+1:09:15,13,+1:09:15,+1:09:15,TINKOFF - SAXO
62,Peter VELITS,Slovakia,BMC,30,+1:10:58,13,+1:10:58,+1:10:58,BMC RACING TEAM
63,Leonardo Fabio DUQUE,Colombia,COL,35,+1:11:05,13,+1:11:05,+1:11:05,COLOMBIA
64,Matteo MONTAGUTI,Italy,ALM,31,+1:12:29,13,+1:12:29,+1:12:29,AG2R LA MONDIALE
65,Angel MADRAZO RUIZ,Spain,CJR,27,+1:12:30,13,+1:12:30,+1:12:30,CAJA RURAL-SEGUROS RGA
