Name,Country,Team,Stage,Rank,Total Time,Gap,gap(s)
GESCHKE Simon,GER,TEAM GIANT-ALPECIN,1,61,16' 01'',+ 01' 05'',65
POELS Wouter,NED,TEAM SKY,1,62,16' 01'',+ 01' 05'',65
KREUZIGER Roman,CZE,TINKOFF-SAXO,1,63,16' 02'',+ 01' 06'',66
KWIATKOWSKI Michal,POL,ETIXX-QUICK STEP,1,64,16' 02'',+ 01' 06'',66
PORTE Richie,AUS,TEAM SKY,1,65,16' 02'',+ 01' 06'',66
WEENING Pieter,NED,ORICA GREENEDGE,1,66,16' 03'',+ 01' 07'',67
LEEZER Thomas,NED,TEAM LOTTO NL - JUMBO,1,67,16' 03'',+ 01' 07'',67
KENNAUGH Peter,GBR,TEAM SKY,1,68,16' 04'',+ 01' 08'',68
MACHADO Tiago,POR,TEAM KATUSHA,1,69,16' 04'',+ 01' 08'',68
PIMANTA COSTA MENDES José Joao,POR,BORA-ARGON 18,1,70,16' 04'',+ 01' 08'',68
KRISTOFF Alexander,NOR,TEAM KATUSHA,1,71,16' 04'',+ 01' 08'',68
HOLLENSTEIN Reto,SUI,IAM CYCLING,1,72,16' 05'',+ 01' 09'',69
SIEBERG Marcel,GER,LOTTO-SOUDAL,1,73,16' 06'',+ 01' 10'',70
STANNARD Ian,GBR,TEAM SKY,1,74,16' 07'',+ 01' 11'',71
BAUER Jack,NZL,TEAM CANNONDALE-GARMIN,1,75,16' 07'',+ 01' 11'',71
GREIPEL André,GER,LOTTO-SOUDAL,1,76,16' 07'',+ 01' 11'',71
ERVITI OLLO Imanol,ESP,MOVISTAR TEAM,1,77,16' 07'',+ 01' 11'',71
BUCHMANN Emanuel,GER,BORA-ARGON 18,1,78,16' 08'',+ 01' 12'',72
FRANK Mathias,SUI,IAM CYCLING,1,79,16' 08'',+ 01' 12'',72
WYSS Marcel,SUI,IAM CYCLING,1,80,16' 08'',+ 01' 12'',72
DEMARE Arnaud,FRA,FDJ,1,81,16' 08'',+ 01' 12'',72
ANACONA GOMEZ Winner Andrew,COL,MOVISTAR TEAM,1,82,16' 09'',+ 01' 13'',73
COSTA Rui Alberto,POR,LAMPRE - MERIDA,1,83,16' 09'',+ 01' 13'',73
VERMOTE Julien,BEL,ETIXX-QUICK STEP,1,84,16' 09'',+ 01' 13'',73
SICARD Romain,FRA,TEAM EUROPCAR,1,85,16' 09'',+ 01' 13'',73
DEMPSTER Zakkari,AUS,BORA-ARGON 18,1,86,16' 10'',+ 01' 14'',74
HESJEDAL Ryder,CAN,TEAM CANNONDALE-GARMIN,1,87,16' 11'',+ 01' 15'',75
BONNET William,FRA,FDJ,1,88,16' 11'',+ 01' 15'',75
KOREN Kristijan,SLO,TEAM CANNONDALE-GARMIN,1,89,16' 11'',+ 01' 15'',75
TALANSKY Andrew,USA,TEAM CANNONDALE-GARMIN,1,90,16' 11'',+ 01' 15'',75
TEN DAM Laurens,NED,TEAM LOTTO NL - JUMBO,1,91,16' 11'',+ 01' 15'',75
HUZARSKI Bartosz,POL,BORA-ARGON 18,1,92,16' 12'',+ 01' 16'',76
BENNATI Daniele,ITA,TINKOFF-SAXO,1,93,16' 12'',+ 01' 16'',76
OLIVEIRA Nelson,POR,LAMPRE - MERIDA,1,94,16' 12'',+ 01' 16'',76
MARTIN Daniel,IRL,TEAM CANNONDALE-GARMIN,1,95,16' 13'',+ 01' 17'',77
